Local,Resultado,Visitante,Año
South Africa,Match 1, South Africa,2026
UEFA Path D winner,Match 2, UEFA Path D winner,2026
South Africa,Match 25, South Africa,2026
South Korea,Match 28, South Korea,2026
Mexico,Match 53, Mexico,2026
South Korea,Match 54, South Korea,2026
UEFA Path A winner,Match 3, UEFA Path A winner,2026
Switzerland,Match 8,  Switzerland,2026
UEFA Path A winner,Match 26, UEFA Path A winner,2026
Qatar,Match 27, Qatar,2026
Canada,Match 51, Canada,2026
Qatar,Match 52, Qatar,2026
Morocco,Match 7, Morocco,2026
Scotland,Match 5, Scotland,2026
Morocco,Match 30, Morocco,2026
Haiti,Match 29, Haiti,2026
Brazil,Match 49, Brazil,2026
Haiti,Match 50, Haiti,2026
Paraguay,Match 4, Paraguay,2026
UEFA Path C winner,Match 6, UEFA Path C winner,2026
Australia,Match 32, Australia,2026
Paraguay,Match 31, Paraguay,2026
United States,Match 59, United States,2026
Australia,Match 60, Australia,2026
Curaçao,Match 10, Curaçao,2026
Ecuador,Match 9, Ecuador,2026
Ivory Coast,Match 33, Ivory Coast,2026
Curaçao,Match 34, Curaçao,2026
Ivory Coast,Match 55, Ivory Coast,2026
Germany,Match 56, Germany,2026
Japan,Match 11, Japan,2026
Tunisia,Match 12, Tunisia,2026
UEFA Path B winner,Match 35, UEFA Path B winner,2026
Japan,Match 36, Japan,2026
UEFA Path B winner,Match 57, UEFA Path B winner,2026
Netherlands,Match 58, Netherlands,2026
Egypt,Match 16, Egypt,2026
New Zealand,Match 15, New Zealand,2026
Iran,Match 39, Iran,2026
Egypt,Match 40, Egypt,2026
Iran,Match 63, Iran,2026
Belgium,Match 64, Belgium,2026
Cape Verde,Match 14, Cape Verde,2026
Uruguay,Match 13, Uruguay,2026
Saudi Arabia,Match 38, Saudi Arabia,2026
Cape Verde,Match 37, Cape Verde,2026
Saudi Arabia,Match 65, Saudi Arabia,2026
Spain,Match 66, Spain,2026
Senegal,Match 17, Senegal,2026
Norway,Match 18, Norway,2026
IC Path 2 winner,Match 42, IC Path 2 winner,2026
Senegal,Match 41, Senegal,2026
France,Match 61, France,2026
IC Path 2 winner,Match 62, IC Path 2 winner,2026
Algeria,Match 19, Algeria,2026
Jordan,Match 20, Jordan,2026
Austria,Match 43, Austria,2026
Algeria,Match 44, Algeria,2026
Austria,Match 69, Austria,2026
Argentina,Match 70, Argentina,2026
IC Path 1 winner,Match 23, IC Path 1 winner,2026
Colombia,Match 24, Colombia,2026
Uzbekistan,Match 47, Uzbekistan,2026
IC Path 1 winner,Match 48, IC Path 1 winner,2026
Portugal,Match 71, Portugal,2026
Uzbekistan,Match 72, Uzbekistan,2026
Croatia,Match 22, Croatia,2026
Panama,Match 21, Panama,2026
Ghana,Match 45, Ghana,2026
Croatia,Match 46, Croatia,2026
England,Match 67, England,2026
Ghana,Match 68, Ghana,2026
Runner-up Group B,Match 73,Runner-up Group B,2026
Runner-up Group F,Match 76,Runner-up Group F,2026
3rd Group A/B/C/D/F,Match 74,3rd Group A/B/C/D/F,2026
Runner-up Group C,Match 75,Runner-up Group C,2026
Runner-up Group I,Match 78,Runner-up Group I,2026
3rd Group C/D/F/G/H,Match 77,3rd Group C/D/F/G/H,2026
3rd Group C/E/F/H/I,Match 79,3rd Group C/E/F/H/I,2026
3rd Group E/H/I/J/K,Match 80,3rd Group E/H/I/J/K,2026
3rd Group A/E/H/I/J,Match 82,3rd Group A/E/H/I/J,2026
3rd Group B/E/F/I/J,Match 81,3rd Group B/E/F/I/J,2026
Runner-up Group J,Match 84,Runner-up Group J,2026
Runner-up Group L,Match 83,Runner-up Group L,2026
3rd Group E/F/G/I/J,Match 85,3rd Group E/F/G/I/J,2026
Runner-up Group G,Match 88,Runner-up Group G,2026
Runner-up Group H,Match 86,Runner-up Group H,2026
3rd Group D/E/I/J/L,Match 87,3rd Group D/E/I/J/L,2026
Winner Match 75,Match 90,Winner Match 75,2026
Winner Match 77,Match 89,Winner Match 77,2026
Winner Match 78,Match 91,Winner Match 78,2026
Winner Match 80,Match 92,Winner Match 80,2026
Winner Match 84,Match 93,Winner Match 84,2026
Winner Match 82,Match 94,Winner Match 82,2026
Winner Match 88,Match 95,Winner Match 88,2026
Winner Match 87,Match 96,Winner Match 87,2026
Winner Match 90,Match 97,Winner Match 90,2026
Winner Match 94,Match 98,Winner Match 94,2026
Winner Match 92,Match 99,Winner Match 92,2026
Winner Match 96,Match 100,Winner Match 96,2026
Winner Match 98,Match 101,Winner Match 98,2026
Winner Match 100,Match 102,Winner Match 100,2026
Loser Match 102,Match 103,Loser Match 102,2026
Winner Match 102,Match 104,Winner Match 102,2026
